season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Wet Season (Oct-Apr),12.5,101.4664664854874,79.20521777834041,58.87014680743579,52.62437804548483,1375,1224,1477
Wet Season (Oct-Apr),13.0,97.65876804010007,75.40450606660812,57.964918181218295,48.94631315736581,1397,1275,1477
Wet Season (Oct-Apr),13.5,96.65888419563409,72.29703649136064,60.23442334291299,51.31870134387721,1402,1316,1477
Wet Season (Oct-Apr),14.0,90.4232213182233,67.07237872170796,56.78861302251332,48.96097653572395,1395,1323,1477
Wet Season (Oct-Apr),14.5,81.0758758506433,58.6034521011789,52.99823030409046,45.05473789574045,1383,1323,1477
Wet Season (Oct-Apr),15.0,68.43978037805455,48.21857527981323,46.11513925216391,39.0667005537415,1394,1333,1477
Wet Season (Oct-Apr),15.5,55.91807138978053,37.92289705520393,41.88443907722406,34.41889521443859,1374,1336,1477
Wet Season (Oct-Apr),16.0,41.32325114304284,26.17447534588317,34.59691414966326,27.49475160330408,1346,1319,1477
Wet Season (Oct-Apr),16.5,28.09865459204217,16.47319654689991,28.005661113514083,21.532821735089126,1265,1252,1477
Wet Season (Oct-Apr),17.0,13.803504041378927,6.910862436409191,20.49780270595075,14.810198432409743,1148,1137,1477
Wet Season (Oct-Apr),17.5,1.7165778517342627,-0.5133437068153766,15.965179190585054,10.77338372833964,955,923,1477
Wet Season (Oct-Apr),18.0,-4.644806175075385,-3.792492414308996,11.874687770094253,8.203561826685792,851,814,1477
Wet Season (Oct-Apr),18.5,-6.1139884771244635,-4.5650342573667935,11.545608294304422,8.06859263742138,812,773,1477
Wet Season (Oct-Apr),19.0,-4.99753742314839,-3.9212895138513284,10.619058739313498,7.352438214515219,772,713,1477
Wet Season (Oct-Apr),19.5,-4.2977611501521205,-3.2148538431348914,9.643809338362685,5.9366006603094545,668,642,1477
Wet Season (Oct-Apr),20.0,-3.4124405736927605,-2.8420733829337816,9.847623244183923,6.122247963512042,618,591,1477
Wet Season (Oct-Apr),20.5,-2.4370018978340866,-2.229248072846498,9.020680474213714,5.449500218018639,559,526,1477
Wet Season (Oct-Apr),21.0,-1.6591813344718098,-1.8958069622840117,9.441154705898215,5.374197460558566,475,476,1477
Wet Season (Oct-Apr),21.5,-1.07864907655228,-1.7146550906254123,9.043502071435132,4.595565631218438,443,424,1477
Wet Season (Oct-Apr),22.0,-0.30691386167689927,-1.387405825991523,8.635940303451715,4.094528424781354,402,427,1477
Wet Season (Oct-Apr),22.5,0.21620314257198173,-1.1439328333638945,8.243279879263092,3.884027818166378,364,382,1477
Wet Season (Oct-Apr),23.0,1.3772805089467426,-0.7301836998060511,7.649681971647402,3.5609659478004896,342,368,1477
Wet Season (Oct-Apr),23.5,1.4672516471962715,-0.7525005968123405,7.673870148877198,3.731159961699063,340,362,1477
