season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Dry Season (May-Sep),14.0,0.24055776101849013,0.3078919515068809,0.11687141720841723,0.10991297535107293,1090,915,1155
Dry Season (May-Sep),14.5,0.2550416425921945,0.3082760266271909,0.11931561121786535,0.1139743557577345,1097,975,1155
Dry Season (May-Sep),15.0,0.2782536672044214,0.3186523059158086,0.13474159332059726,0.13230851638805838,1117,1022,1155
Dry Season (May-Sep),15.5,0.29928926881967394,0.324784543773207,0.14015169791690196,0.1466211491560658,1110,1062,1155
Dry Season (May-Sep),16.0,0.3186751924911554,0.3326030788179121,0.1439636822921744,0.1618979454954531,1099,1058,1155
Dry Season (May-Sep),16.5,0.3374354356335684,0.33517925768272916,0.13970081184668026,0.17105653935801668,1082,1068,1155
Dry Season (May-Sep),17.0,0.33741398502007725,0.3316930150751406,0.1287489875011197,0.16649312100378016,891,874,1155
Dry Season (May-Sep),17.5,0.28391798798957396,0.2480107739154789,0.12428173693908316,0.15306228213490006,753,723,1155
Dry Season (May-Sep),18.0,0.2372444100678631,0.1954699372993722,0.11922528687769306,0.13492143150864933,685,603,1155
Dry Season (May-Sep),18.5,0.22412774641480668,0.17448197341850363,0.11489791444246215,0.12379188311925897,559,489,1155
Dry Season (May-Sep),19.0,0.2167738131331639,0.173006531874487,0.11321265649987337,0.12405519733176618,473,421,1155
Dry Season (May-Sep),19.5,0.21274169378929803,0.1611572655391688,0.11140802337213246,0.12392151423211518,380,371,1155
Dry Season (May-Sep),20.0,0.1958975666654822,0.14910905606723193,0.10545737187670791,0.11237095484221585,324,317,1155
Dry Season (May-Sep),20.5,0.19207067844830783,0.1362220881632393,0.09928793411695343,0.0996802856700291,238,248,1155
Dry Season (May-Sep),21.0,0.1762234766055416,0.11866689596603168,0.08518587021010554,0.08040092874956355,188,210,1155
Dry Season (May-Sep),21.5,0.16928686414980046,0.10753143524030796,0.07751756626363636,0.07098266989495623,155,195,1155
Dry Season (May-Sep),22.0,0.14864401273597322,0.09918929856284754,0.07174090713005551,0.06159118150540978,145,190,1155
Dry Season (May-Sep),22.5,0.15870348224529587,0.09922117172527611,0.07823992992737089,0.06442889578815074,128,170,1155
Dry Season (May-Sep),23.0,0.15355213487879327,0.09622766397216068,0.06854453236865624,0.06429637514708268,109,148,1155
